Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Brasil;BRA;Exportações de alta tecnologia (% de exportações manufaturadas);TX.VAL.TECH.MF.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.231.996.429.853;141.561.829.624.485;120.523.401.660.687;105.755.774.758.681;112.727.771.557.656;10.431.530.300.605;113.634.462.941.607;131.387.713.190.622;143.371.583.972.761;133.129.032.206.298;129.506.134.545.756;;
Brasil;BRA;Índice de termos de permuta líquida (2000 = 100);TT.PRI.MRCH.XD.WD;;;;;;;;;;;;;;;;;;;;;7.388.535.032;6.193.181.818;5.964.912.281;5.766.871.166;6.217.948.718;6.206.896.552;7.338.709.677;6.524.822.695;8.429.752.066;7.426.470.588;6.644.295.302;7.890.625;8.196.721.311;8.727.272.727;100.952.381;1.103.773.585;1.083.333.333;1.144.230.769;1.142.857.143;1.031.578.947;100;998.237.338;9.847.395.379;971.082.248;9.795.061.893;9.875.548.329;1.039.666.645;1.061.469.652;1.100.855.786;1.072.763.469;12.444.568;1.341.583.015;1.263.308.289;1.237.562.524;1.195.611.926;1.064.117.106;1.096.413.998;1.159.902.204;1.135.032.368;;
Brasil;BRA;Comércio de mercadorias (% do PIB);TG.VAL.TOTL.GD.ZS;180.013.017.364.171;187.899.670.004.455;134.947.322.453.654;125.665.263.061.942;126.957.084.591.623;123.542.710.487.708;119.611.052.005.107;108.558.381.761.016;118.461.860.702.129;122.160.560.361.648;132.017.879.280.432;134.235.807.951.506;149.882.961.497.004;166.475.237.947.584;210.384.629.585.154;179.954.023.030.606;156.237.288.964.392;144.047.312.245.801;138.012.335.213.725;155.790.014.821.419;191.865.022.619.235;179.738.216.228.537;146.420.273.445.436;19.035.484.729.188;201.962.538.426.057;179.288.147.968.167;141.367.913.530.874;145.553.595.710.219;149.967.895.327.411;127.510.803.631.741;116.756.774.411.577;905.135.520.684.736;14.705.219.742.673;151.117.439.340.883;142.869.173.853.212;130.823.209.882.063;123.147.630.338.316;13.274.009.254.352;129.430.322.825.974;166.469.638.114.201;173.570.974.282.055;208.571.294.982.993;216.870.345.089.451;222.245.338.864.314;243.697.805.845.773;219.998.161.799.279;210.939.419.765.206;205.638.263.723.287;224.267.891.637.422;171.966.765.375.445;178.123.523.237.019;188.442.708.987.175;193.078.933.446.319;199.202.774.804.426;189.030.213.777.478;205.427.836.662.643;183.016.633.664.725;181.925.708.719.265;226.906.371.303.423;222.721.135.562.739;
Brasil;BRA;População, total;SP.POP.TOTL;72179226;74311343;76514328;78772657;81064571;83373530;85696505;88035814;90387079;92746614;95113265;97482920;99859383;102259497;104706198;107216205;109790938;112425392;115121153;117878411;120694009;123570327;126498314;129448819;132383568;135274080;138108912;140891602;143627503;146328304;149003223;151648011;154259380;156849078;159432716;162019896;164614688;167209040;169785250;172318675;174790340;177196054;179537520;181809246;184006481;186127103;188167356;190130443;192030362;193886508;195713635;197514534;199287296;201035903;202763735;204471769;206163058;207833831;209469333;211049527;
Brasil;BRA;Crescimento da população (anual %);SP.POP.GROW;;29.111.328.978.629;292.144.124.690.258;29.087.926.849.475;286.800.656.761.809;280.848.629.575.092;27.481.170.079.219;26.931.665.982.978;263.576.168.083.875;257.698.683.160.796;251.972.504.945.297;246.087.385.937.608;240.858.432.323.618;237.506.444.021.468;236.446.430.267.005;2.368.908.942.493;237.305.905.363.067;237.118.256.263.002;236.952.587.451.652;236.685.998.038.497;236.048.134.431.235;235.519.519.741.772;234.185.366.295.495;230.566.029.268.196;22.417.944.097.115;21.599.415.505.218;207.396.487.355.581;19.948.223.293.103;192.323.487.718.489;186.295.914.507.552;181.151.817.880.662;175.941.817.375.769;170.733.529.878.176;166.485.850.824.113;163.379.335.720.083;160.971.525.422.645;158.883.762.636.286;156.372.474.049.748;152.896.370.271.808;148.111.209.937.399;142.416.743.408.748;136.695.707.635.304;131.274.418.552.691;125.738.273.806.831;12.012.941.278.805;114.588.099.838.722;10.901.968.535.216;10.378.620.369.676;0.994311624;0.961948263;0.937956738;0.915962656;0.893531058;0.873603191;0.855792023;0.838848283;0.823748232;0.807147162;0.783847579;0.751548427;
Brasil;BRA;Taxa de fertilidade, total (nascimentos por mulher);SP.DYN.TFRT.IN;6.061;6.031;5.981;5.91;5.818;5.703;5.57;5.424;5.272;5.12;4.972;4.836;4.712;4.6;4.502;4.415;4.339;4.267;4.195;4.12;4.037;3.943;3.838;3.723;3.6;3.471;3.342;3.217;3.101;2.995;2.902;2.822;2.754;2.693;2.639;2.588;2.536;2.483;2.426;2.365;2.3;2.232;2.163;2.097;2.033;1.976;1.925;1.882;1.847;1.818;1.796;1.781;1.771;1.764;1.758;1.753;1.747;1.739;1.73;;
Brasil;BRA;Expectativa de vida no nascimento, total (anos);SP.DYN.LE00.IN;54.143;54.634;55.13;55.627;56.121;56.61;57.091;57.563;58.025;58.475;58.911;59.332;59.739;60.132;60.513;60.884;61.243;61.595;61.942;62.286;62.63;62.976;63.326;63.68;64.039;64.406;64.782;65.165;65.553;65.947;66.343;66.742;67.141;67.539;67.932;68.318;68.695;69.061;69.419;69.769;70.116;70.462;70.813;71.17;71.531;71.896;72.26;72.618;72.966;73.3;73.619;73.921;74.209;74.483;74.745;74.994;75.23;75.456;75.672;;
Brasil;BRA;Taxa de mortalidade infantil (por 1.000 nascidos vivos):;SP.DYN.IMRT.IN;127.2;123.9;120.8;117.9;115.2;112.8;110.5;108.4;106.3;104.1;101.8;99.4;97.1;94.7;92.4;90;87.6;85.1;82.4;79.5;76.5;73.4;70.5;67.7;65.1;62.7;60.5;58.4;56.4;54.4;52.4;50.3;48.1;45.8;43.3;40.9;38.5;36.3;34.2;32.2;30.3;28.5;26.7;25;23.5;22;20.6;19.4;18.4;17.5;16.7;16;15.4;14.9;14.5;14;14.6;13.2;12.8;12.4;
Brasil;BRA;Uso de método anticoncepcional (% de mulheres de 15 a 19 anos de idade);SP.DYN.CONU.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;66.2;;;;;59.2;;;;;76.7;;;;;;;;;;80.3;;;;;;;80.2;;;;;;;
Brasil;BRA;Taxa de fertilidade de adolescentes (nascimentos por 1.000 mulheres de 15 a 19 anos de idade);SP.ADO.TFRT;898.818;897.404;89.599;88.102;86.605;85.108;83.611;82.114;804.488;787.836;771.184;754.532;73.788;73.808;73.828;73.848;73.868;73.888;750.802;762.724;774.646;786.568;79.849;802.314;806.138;809.962;813.786;81.761;821.542;825.474;829.406;833.338;83.727;83.834;83.941;84.048;84.155;84.262;83.578;82.894;82.21;81.526;80.842;78.904;76.966;75.028;73.09;71.152;697.322;683.124;668.926;654.728;64.053;630.646;620.762;610.878;600.994;59.111;578.858;;
Brasil;BRA;Migração, total líquido;SM.POP.NETM;;;0;;;;;0;;;;;0;;;;;0;;;;;0;;;;;0;;;;;0;;;;;0;;;;;0;;;;;0;;;;;15924;;;;;106000;;;
Brasil;BRA;Desemprego, total (% da força de trabalho total);SL.UEM.TOTL.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;637.200.021.743.774;642.000.007.629.395;603.000.020.980.835;622.900.009.155.273;64.210.000.038.147;725.299.978.256.226;815.799.999.237.061;942.300.033.569.336;102.080.001.831.055;989.500.045.776.367;960.999.965.667.725;937.100.028.991.699;999.100.017.547.607;910.499.954.223.633;956.799.983.978.271;863.899.993.896.484;832.699.966.430.664;734.299.993.515.015;852.200.031.280.518;773.600.006.103.516;691.699.981.689.453;718.599.987.030.029;697.599.983.215.332;666.099.977.493.286;842.700.004.577.637;116.000.003.814.697;128.219.995.498.657;123.339.996.337.891;120.830.001.831.055;
Brasil;BRA;Pobreza, linha de pobreza nacional (% da população);SI.POV.NAHC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brasil;BRA;Índice de Gini;SI.POV.GINI;;;;;;;;;;;;;;;;;;;;;;58;58.4;59;58.4;55.6;58.5;59.7;61.4;63.3;60.5;;53.2;60.1;;59.6;59.9;59.8;59.6;59;;58.4;58.1;57.6;56.5;56.3;55.6;54.9;54;53.7;;52.9;53.5;52.8;52.1;51.9;53.3;53.3;53.9;;
Brasil;BRA;Pobreza, US$1,90/dia (PPP) (% da população);SI.POV.DDAY;;;;;;;;;;;;;;;;;;;;;;21.3;21.7;27.4;26.7;23;10.5;17.7;20;18.2;21.5;;20.7;19.8;;12.9;14.1;14;12.7;13.3;;11.5;10.2;11;9.7;8.6;7.2;6.7;5.5;5.4;;4.7;3.7;3.1;2.7;3.2;3.9;4.4;4.4;;
Brasil;BRA;Participação da renda dos 20% mais pobres;SI.DST.FRST.20;;;;;;;;;;;;;;;;;;;;;;2.7;2.6;2.6;2.7;2.9;2.7;2.4;2.1;2;2.3;;2.8;2.4;;2.4;2.2;2.3;2.4;2.5;;2.5;2.6;2.6;2.9;2.9;3;3;3.2;3.2;;3.3;3.3;3.5;3.6;3.6;3.3;3.2;3.1;;119.659.996.032.715
Brasil;BRA;Prevalência da desnutrição, peso para a idade (% de crianças menores de 5 anos):;SH.STA.MALN.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.6;;;;;;;4.5;;;;;;3.7;;;;;2.2;;;;;;;;;;;;;
Brasil;BRA;Partos assistidos por pessoal de saúde qualificado (% do total):;SH.STA.BRTC.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69.5;;;;;87.6;98.6;98.6;98.6;98.6;98.3;98.5;98.4;98.6;98.6;97;98.6;98.8;98.9;98.9;99;99;99.1;99.1;99.2;;;;;
Brasil;BRA;Imunização, sarampo (% de crianças de 12 a 23 meses);SH.IMM.MEAS;;;;;;;;;;;;;;;;;;;;;57;73;66;68;73;67;67;64;62;60;78;85;91;85;77;87;80;99;95;99;99;99;96;97;97;98;99;99;99;99;99;99;99;98;97;96;95;91;92;91;
Brasil;BRA;Taxa de mortalidade, menores de 5 anos (por 1.000 nascidos vivos);SH.DYN.MORT;168.9;164.1;159.7;155.5;151.7;148.2;145;141.9;138.9;135.8;132.5;129.1;125.7;122.3;118.9;115.6;112.2;108.5;104.6;100.4;96.1;91.8;87.6;83.7;80.2;76.9;73.9;71;68.3;65.6;62.9;60.1;57.1;54;50.9;47.8;44.8;42;39.4;37;34.6;32.4;30.3;28.3;26.4;24.7;23.2;21.8;20.6;19.6;18.7;17.9;17.3;16.7;16.2;15.7;16.4;14.8;14.4;13.9;
Brasil;BRA;Prevalência de HIV, total (% de população de 15 a 49 anos);SH.DYN.AIDS.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;0.2;0.2;0.3;0.3;0.3;0.3;0.3;0.3;0.4;0.4;0.4;0.4;0.4;0.4;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;
