;dfFHC_1998;dfFHC_1998;dfFHC_1998;dfLula_2002;dfLula_2002;dfLula_2002;dfLula_2006;dfLula_2006;dfLula_2006;dfDilma_2010;dfDilma_2010;dfDilma_2010;dfDilma_2014;dfDilma_2014;dfDilma_2014;dfBolsonaro_2018;dfBolsonaro_2018;dfBolsonaro_2018
;Votos Nominais;%/Válidos;UF;Votos Nominais;%/Válidos;UF;Votos;Proporção;Estado;VotaçãoNominal;Proporção;UF;Votos;Proporção;Estado;nº votos (Estado);% votos (Estado);Estado
0;13,848;66.208;ZZ;20,772;60.184;ZZ;17.948;46,19%;ZZ;33.112;4.086.639.926;ZZ;31.059;77,02%;ZZ;131671;71.02;ZZ
1;68,277;42.324;AP;104,087;65.555;RR;151.584;52,36%;Acre;96.969;30.33;AC;138.922;36,32%;Acre;294899;77.22;Acre
2;71,768;61.924;RR;140,363;59.942;AC;822.505;61,45%;Alagoas;737.236;7.280.847.034;AL;941.286;62,12%;Alagoas;610093;40.08;Alagoas
3;90,363;46.801;AC;171,850;75.514;AP;1.159.709;86,80%;Amazonas;1.141.607;8.056.847.855;AM;1.033.090;65,02%;Amazonas;185096;50.2;Amapá
4;265,393;66.678;TO;288,405;54.033;TO;191.698;70,40%;Amapá;198.644;626.629.317;AP;227.414;61,45%;Amapá;885401;50.27;Amazonas
5;297,243;47.370;SE;334,264;55.564;RO;5.188.314;78,08%;Bahia;4.737.079;7.085.428.925;BA;5.059.228;70,16%;Bahia;2060382;27.31;Bahia
6;323,743;66.405;RO;477,009;43.606;AL;3.394.007;82,38%;Ceará;3.288.570;7.735.447.448;CE;3.522.225;76,75%;Ceará;1384591;28.89;Ceará
7;391,201;40.449;DF;490,989;57.499;SE;765.008;56,96%;Distrito Federal;708.674;52.808.365;DF;580.581;38,10%;Distrito Federal;1080411;69.99;Distrito Federal
8;394,873;54.794;AL;593,939;55.141;MS;1.190.459;65,54%;Espírito Santo;924.046;4.916.526.955;ES;911.906;46,15%;Espírito Santo;1276611;63.06;Espírito Santo
9;452,076;54.677;AM;649,100;54.464;MT;1.485.280;54,78%;Goiás;1.446.178;4.924.758.543;GO;1.365.658;42,89%;Goiás;2124739;65.52;Goiás
10;482,649;48.090;PI;722,034;69.883;AM;2.280.520;84,63%;Maranhão;2.294.146;7.909.225.521;MA;2.475.762;78,76%;Maranhão;886565;26.74;Maranhão
11;520,471;61.256;MS;777,708;62.257;DF;6.808.417;65,19%;Minas Gerais;6.220.125;5.844.653.363;MG;5.979.422;52,41%;Minas Gerais;1085824;66.42;Mato Grosso
12;525,842;50.719;RN;781,947;58.635;RN;535.537;45,00%;Mato Grosso do Sul;555.283;4.486.816.291;MS;590.835;43,67%;Mato Grosso do Sul;872049;65.22;Mato Grosso do Sul
13;541,067;45.259;PB;825,257;60.732;PI;709.505;49,72%;Mato Grosso;729.747;4.888.929.235;MT;717.230;45,33%;Mato Grosso;6100107;58.19;Minas Gerais
14;663,773;73.098;MT;944,172;59.357;ES;1.840.154;60,12%;Pará;1.791.443;5.319.647.808;PA;2.103.829;57,41%;Pará;1742188;45.19;Pará
15;736,042;48.625;MA;984,944;57.018;PB;1.478.378;75,01%;Paraíba;1.229.391;6.155.233.789;PB;1.380.988;64,26%;Paraíba;782143;35.02;Paraíba
16;804,969;30.306;CE;1,229,559;58.483;MA;3.260.996;78,48%;Pernambuco;3.457.953;7.564.670.278;PE;3.438.165;70,20%;Pernambuco;4224416;68.43;Paraná
17;814,535;64.748;ES;1,317,472;52.655;PA;1.210.509;77,30%;Piauí;1.112.380;6.998.424.634;PI;1.385.096;78,30%;Piauí;1661163;33.5;Pernambuco
18;1,020,868;56.815;PA;1,424,236;57.077;GO;2.662.453;49,25%;Paraná;2.593.086;4.456.008.642;PR;2.408.740;39,02%;Paraná;422095;22.95;Piauí
19;1,247,510;65.957;GO;1,914,684;64.140;SC;5.532.284;69,69%;Rio de Janeiro;4.934.077;6.048.169.103;RJ;4.488.183;54,94%;Rio de Janeiro;5669059;67.95;Rio de Janeiro
20;1,255,253;49.427;SC;2,198,673;57.067;PE;1.091.069;69,68%;Rio Grande do Norte;979.772;5.954.258.225;RN;1.201.576;69,96%;Rio Grande do Norte;652562;36.59;Rio Grande do Norte
21;1,637,394;57.224;PE;2,497,143;71.783;CE;397.327;55,33%;Rondônia;347.138;4.736.673.339;RO;364.055;45,15%;Rondônia;3893737;63.24;Rio Grande do Sul
22;1,977,643;50.918;BA;2,929,427;59.221;PR;66.932;38,51%;Roraima;71.280;3.343.715.991;RR;97.329;41,10%;Roraima;594968;72.18;Rondônia
23;2,036,805;40.599;RS;3,297,354;55.836;RS;2.811.658;44,65%;Rio Grande do Sul;3.117.761;4.906.021.557;RS;2.997.360;46,47%;Rio Grande do Sul;183268;71.55;Roraima
24;2,492,531;59.249;PR;3,710,900;65.695;BA;1.481.344;45,47%;Santa Catarina;1.556.226;4.339.289.882;SC;1.353.808;35,41%;Santa Catarina;2966242;75.92;Santa Catarina
25;2,848,277;42.276;RJ;6,318,104;78.971;RJ;611.337;60,16%;Sergipe;568.862;5.355.799.884;SE;772.253;67,01%;Sergipe;15306023;67.97;São Paulo
26;4,225,240;55.677;MG;6,384,690;66.447;MG;10.684.776;47,74%;São Paulo;10.462.447;4.594.650.724;SP;8.488.383;35,69%;São Paulo;364860;32.46;Sergipe
27;9,736,728;59.886;SP;11,264,282;55.387;SP;447.849;70,27%;Tocantins;391.279;5.887.568.934;TO;428.662;59,49%;Tocantins;356684;48.98;Tocantins
28;;;;;;;;;;28.018;5.282.926.369;VT;;;;;;
