Cargo;UF;Partido;Nr.;Candidato;Votos Nominais;Situação;%/Válidos;Coligação
Presidente;ZZ;PT;13;LUIZ INACIO LULA DA SILVA;20,772;Eleito;60.184;PT / PL / PC do B / PMN / PCB
Presidente;RR;PT;13;LUIZ INACIO LULA DA SILVA;104,087;Eleito;65.555;PT / PL / PC do B / PMN / PCB
Presidente;AC;PT;13;LUIZ INACIO LULA DA SILVA;140,363;Eleito;59.942;PT / PL / PC do B / PMN / PCB
Presidente;AP;PT;13;LUIZ INACIO LULA DA SILVA;171,850;Eleito;75.514;PT / PL / PC do B / PMN / PCB
Presidente;TO;PT;13;LUIZ INACIO LULA DA SILVA;288,405;Eleito;54.033;PT / PL / PC do B / PMN / PCB
Presidente;RO;PT;13;LUIZ INACIO LULA DA SILVA;334,264;Eleito;55.564;PT / PL / PC do B / PMN / PCB
Presidente;AL;PT;13;LUIZ INACIO LULA DA SILVA;477,009;Eleito;43.606;PT / PL / PC do B / PMN / PCB
Presidente;SE;PT;13;LUIZ INACIO LULA DA SILVA;490,989;Eleito;57.499;PT / PL / PC do B / PMN / PCB
Presidente;MS;PT;13;LUIZ INACIO LULA DA SILVA;593,939;Eleito;55.141;PT / PL / PC do B / PMN / PCB
Presidente;MT;PT;13;LUIZ INACIO LULA DA SILVA;649,100;Eleito;54.464;PT / PL / PC do B / PMN / PCB
Presidente;AM;PT;13;LUIZ INACIO LULA DA SILVA;722,034;Eleito;69.883;PT / PL / PC do B / PMN / PCB
Presidente;DF;PT;13;LUIZ INACIO LULA DA SILVA;777,708;Eleito;62.257;PT / PL / PC do B / PMN / PCB
Presidente;RN;PT;13;LUIZ INACIO LULA DA SILVA;781,947;Eleito;58.635;PT / PL / PC do B / PMN / PCB
Presidente;PI;PT;13;LUIZ INACIO LULA DA SILVA;825,257;Eleito;60.732;PT / PL / PC do B / PMN / PCB
Presidente;ES;PT;13;LUIZ INACIO LULA DA SILVA;944,172;Eleito;59.357;PT / PL / PC do B / PMN / PCB
Presidente;PB;PT;13;LUIZ INACIO LULA DA SILVA;984,944;Eleito;57.018;PT / PL / PC do B / PMN / PCB
Presidente;MA;PT;13;LUIZ INACIO LULA DA SILVA;1,229,559;Eleito;58.483;PT / PL / PC do B / PMN / PCB
Presidente;PA;PT;13;LUIZ INACIO LULA DA SILVA;1,317,472;Eleito;52.655;PT / PL / PC do B / PMN / PCB
Presidente;GO;PT;13;LUIZ INACIO LULA DA SILVA;1,424,236;Eleito;57.077;PT / PL / PC do B / PMN / PCB
Presidente;SC;PT;13;LUIZ INACIO LULA DA SILVA;1,914,684;Eleito;64.140;PT / PL / PC do B / PMN / PCB
Presidente;PE;PT;13;LUIZ INACIO LULA DA SILVA;2,198,673;Eleito;57.067;PT / PL / PC do B / PMN / PCB
Presidente;CE;PT;13;LUIZ INACIO LULA DA SILVA;2,497,143;Eleito;71.783;PT / PL / PC do B / PMN / PCB
Presidente;PR;PT;13;LUIZ INACIO LULA DA SILVA;2,929,427;Eleito;59.221;PT / PL / PC do B / PMN / PCB
Presidente;RS;PT;13;LUIZ INACIO LULA DA SILVA;3,297,354;Eleito;55.836;PT / PL / PC do B / PMN / PCB
Presidente;BA;PT;13;LUIZ INACIO LULA DA SILVA;3,710,900;Eleito;65.695;PT / PL / PC do B / PMN / PCB
Presidente;RJ;PT;13;LUIZ INACIO LULA DA SILVA;6,318,104;Eleito;78.971;PT / PL / PC do B / PMN / PCB
Presidente;MG;PT;13;LUIZ INACIO LULA DA SILVA;6,384,690;Eleito;66.447;PT / PL / PC do B / PMN / PCB
Presidente;SP;PT;13;LUIZ INACIO LULA DA SILVA;11,264,282;Eleito;55.387;PT / PL / PC do B / PMN / PCB
Presidente;ZZ;PSDB;45;JOSÉ SERRA;13,742;Não eleito;39.816;PSDB / PMDB
Presidente;RR;PSDB;45;JOSÉ SERRA;54,692;Não eleito;34.445;PSDB / PMDB
Presidente;AP;PSDB;45;JOSÉ SERRA;55,723;Não eleito;24.486;PSDB / PMDB
Presidente;AC;PSDB;45;JOSÉ SERRA;93,803;Não eleito;40.058;PSDB / PMDB
Presidente;TO;PSDB;45;JOSÉ SERRA;245,349;Não eleito;45.967;PSDB / PMDB
Presidente;RO;PSDB;45;JOSÉ SERRA;267,320;Não eleito;44.436;PSDB / PMDB
Presidente;AM;PSDB;45;JOSÉ SERRA;311,175;Não eleito;30.117;PSDB / PMDB
Presidente;SE;PSDB;45;JOSÉ SERRA;362,923;Não eleito;42.501;PSDB / PMDB
Presidente;DF;PSDB;45;JOSÉ SERRA;471,485;Não eleito;37.743;PSDB / PMDB
Presidente;MS;PSDB;45;JOSÉ SERRA;483,196;Não eleito;44.859;PSDB / PMDB
Presidente;PI;PSDB;45;JOSÉ SERRA;533,603;Não eleito;39.268;PSDB / PMDB
Presidente;MT;PSDB;45;JOSÉ SERRA;542,695;Não eleito;45.536;PSDB / PMDB
Presidente;RN;PSDB;45;JOSÉ SERRA;551,628;Não eleito;41.365;PSDB / PMDB
Presidente;AL;PSDB;45;JOSÉ SERRA;616,902;Não eleito;56.394;PSDB / PMDB
Presidente;ES;PSDB;45;JOSÉ SERRA;646,494;Não eleito;40.643;PSDB / PMDB
Presidente;PB;PSDB;45;JOSÉ SERRA;742,486;Não eleito;42.982;PSDB / PMDB
Presidente;MA;PSDB;45;JOSÉ SERRA;872,880;Não eleito;41.517;PSDB / PMDB
Presidente;CE;PSDB;45;JOSÉ SERRA;981,609;Não eleito;28.217;PSDB / PMDB
Presidente;SC;PSDB;45;JOSÉ SERRA;1,070,502;Não eleito;35.860;PSDB / PMDB
Presidente;GO;PSDB;45;JOSÉ SERRA;1,071,070;Não eleito;42.923;PSDB / PMDB
Presidente;PA;PSDB;45;JOSÉ SERRA;1,184,624;Não eleito;47.345;PSDB / PMDB
Presidente;PE;PSDB;45;JOSÉ SERRA;1,654,132;Não eleito;42.933;PSDB / PMDB
Presidente;RJ;PSDB;45;JOSÉ SERRA;1,682,472;Não eleito;21.029;PSDB / PMDB
Presidente;BA;PSDB;45;JOSÉ SERRA;1,937,780;Não eleito;34.305;PSDB / PMDB
Presidente;PR;PSDB;45;JOSÉ SERRA;2,017,198;Não eleito;40.779;PSDB / PMDB
Presidente;RS;PSDB;45;JOSÉ SERRA;2,608,109;Não eleito;44.164;PSDB / PMDB
Presidente;MG;PSDB;45;JOSÉ SERRA;3,223,960;Não eleito;33.553;PSDB / PMDB
Presidente;SP;PSDB;45;JOSÉ SERRA;9,073,187;Não eleito;44.613;PSDB / PMDB
