Estado;Votos;Proporção;Candidato;Total Válidos
ZZ;20.912;53,81%;Geraldo Alckmin (45);38.860
ZZ;17.948;46,19%;Lula (13);38.860
Acre;151.584;52,36%;Lula (13);289.495
Alagoas;822.505;61,45%;Lula (13);1.338.564
Amazonas;1.159.709;86,80%;Lula (13);1.336.047
Amapá;191.698;70,40%;Lula (13);272.299
Bahia;5.188.314;78,08%;Lula (13);6.644.731
Ceará;3.394.007;82,38%;Lula (13);4.119.997
Distrito Federal;765.008;56,96%;Lula (13);1.343.145
Espírito Santo;1.190.459;65,54%;Lula (13);1.816.311
Goiás;1.485.280;54,78%;Lula (13);2.711.291
Maranhão;2.280.520;84,63%;Lula (13);2.694.628
Minas Gerais;6.808.417;65,19%;Lula (13);10.443.645
Mato Grosso do Sul;535.537;45,00%;Lula (13);1.190.140
Mato Grosso;709.505;49,72%;Lula (13);1.426.890
Pará;1.840.154;60,12%;Lula (13);3.060.718
Paraíba;1.478.378;75,01%;Lula (13);1.970.902
Pernambuco;3.260.996;78,48%;Lula (13);4.155.058
Piauí;1.210.509;77,30%;Lula (13);1.566.086
Paraná;2.662.453;49,25%;Lula (13);5.406.325
Rio de Janeiro;5.532.284;69,69%;Lula (13);7.938.771
Rio Grande do Norte;1.091.069;69,68%;Lula (13);1.565.890
Rondônia;397.327;55,33%;Lula (13);718.133
Roraima;66.932;38,51%;Lula (13);173.822
Rio Grande do Sul;2.811.658;44,65%;Lula (13);6.297.574
Santa Catarina;1.481.344;45,47%;Lula (13);3.258.120
Sergipe;611.337;60,16%;Lula (13);1.016.234
São Paulo;10.684.776;47,74%;Lula (13);22.381.714
Tocantins;447.849;70,27%;Lula (13);637.340
Acre;137.911;47,64%;Geraldo Alckmin (45);289.495
Alagoas;516.059;38,55%;Geraldo Alckmin (45);1.338.564
Amazonas;176.338;13,20%;Geraldo Alckmin (45);1.336.047
Amapá;80.601;29,60%;Geraldo Alckmin (45);272.299
Bahia;1.456.417;21,92%;Geraldo Alckmin (45);6.644.731
Ceará;725.990;17,62%;Geraldo Alckmin (45);4.119.997
Distrito Federal;578.137;43,04%;Geraldo Alckmin (45);1.343.145
Espírito Santo;625.852;34,46%;Geraldo Alckmin (45);1.816.311
Goiás;1.226.011;45,22%;Geraldo Alckmin (45);2.711.291
Maranhão;414.108;15,37%;Geraldo Alckmin (45);2.694.628
Minas Gerais;3.635.228;34,81%;Geraldo Alckmin (45);10.443.645
Mato Grosso do Sul;654.603;55,00%;Geraldo Alckmin (45);1.190.140
Mato Grosso;717.385;50,28%;Geraldo Alckmin (45);1.426.890
Pará;1.220.564;39,88%;Geraldo Alckmin (45);3.060.718
Paraíba;492.524;24,99%;Geraldo Alckmin (45);1.970.902
Pernambuco;894.062;21,52%;Geraldo Alckmin (45);4.155.058
Piauí;355.577;22,70%;Geraldo Alckmin (45);1.566.086
Paraná;2.743.872;50,75%;Geraldo Alckmin (45);5.406.325
Rio de Janeiro;2.406.487;30,31%;Geraldo Alckmin (45);7.938.771
Rio Grande do Norte;474.821;30,32%;Geraldo Alckmin (45);1.565.890
Rondônia;320.806;44,67%;Geraldo Alckmin (45);718.133
Roraima;106.890;61,49%;Geraldo Alckmin (45);173.822
Rio Grande do Sul;3.485.916;55,35%;Geraldo Alckmin (45);6.297.574
Santa Catarina;1.776.776;54,53%;Geraldo Alckmin (45);3.258.120
Sergipe;404.897;39,84%;Geraldo Alckmin (45);1.016.234
São Paulo;11.696.938;52,26%;Geraldo Alckmin (45);22.381.714
Tocantins;189.491;29,73%;Geraldo Alckmin (45);637.340
