UF;Cargo;Candidato;Idade;Nr;Partido;Proporção;VotaçãoNominal;Situação;Sexo
ZZ;PRESIDENTE;JOSÉ SERRA;68;45;PSDB;59.13360074;47.913;NÃO ELEITO;MASCULINO
ZZ;PRESIDENTE;DILMA VANA ROUSSEFF;63;13;PT;40.86639926;33.112;ELEITO;FEMININO
AC;PRESIDENTE;JOSÉ SERRA;68;45;PSDB;69.67;222.766;NÃO ELEITO;MASCULINO
AC;PRESIDENTE;DILMA VANA ROUSSEFF;63;13;PT;30.33;96.969;ELEITO;FEMININO
AL;PRESIDENTE;JOSÉ SERRA;68;45;PSDB;46.36739017;637.368;NÃO ELEITO;MASCULINO
AL;PRESIDENTE;DILMA VANA ROUSSEFF;63;13;PT;72.80847034;737.236;ELEITO;FEMININO
AM;PRESIDENTE;JOSÉ SERRA;68;45;PSDB;19.43152145;275.333;NÃO ELEITO;MASCULINO
AM;PRESIDENTE;DILMA VANA ROUSSEFF;63;13;PT;80.56847855;1.141.607;ELEITO;FEMININO
AP;PRESIDENTE;JOSÉ SERRA;68;45;PSDB;37.3370683;118.360;NÃO ELEITO;MASCULINO
AP;PRESIDENTE;DILMA VANA ROUSSEFF;63;13;PT;62.6629317;198.644;ELEITO;FEMININO
BA;PRESIDENTE;JOSÉ SERRA;68;45;PSDB;29.14571075;1.948.584;NÃO ELEITO;MASCULINO
BA;PRESIDENTE;DILMA VANA ROUSSEFF;63;13;PT;70.85428925;4.737.079;ELEITO;FEMININO
CE;PRESIDENTE;JOSÉ SERRA;68;45;PSDB;22.64552552;962.729;NÃO ELEITO;MASCULINO
CE;PRESIDENTE;DILMA VANA ROUSSEFF;63;13;PT;77.35447448;3.288.570;ELEITO;FEMININO
DF;PRESIDENTE;JOSÉ SERRA;68;45;PSDB;47.191635;633.299;NÃO ELEITO;MASCULINO
DF;PRESIDENTE;DILMA VANA ROUSSEFF;63;13;PT;52.808365;708.674;ELEITO;FEMININO
ES;PRESIDENTE;JOSÉ SERRA;68;45;PSDB;50.83473045;955.423;NÃO ELEITO;MASCULINO
ES;PRESIDENTE;DILMA VANA ROUSSEFF;63;13;PT;49.16526955;924.046;ELEITO;FEMININO
GO;PRESIDENTE;JOSÉ SERRA;68;45;PSDB;50.75241457;1.490.368;NÃO ELEITO;MASCULINO
GO;PRESIDENTE;DILMA VANA ROUSSEFF;63;13;PT;49.24758543;1.446.178;ELEITO;FEMININO
MA;PRESIDENTE;JOSÉ SERRA;68;45;PSDB;20.90774479;606.449;NÃO ELEITO;MASCULINO
MA;PRESIDENTE;DILMA VANA ROUSSEFF;63;13;PT;79.09225521;2.294.146;ELEITO;FEMININO
MG;PRESIDENTE;JOSÉ SERRA;68;45;PSDB;41.55346637;4.422.294;NÃO ELEITO;MASCULINO
MG;PRESIDENTE;DILMA VANA ROUSSEFF;63;13;PT;58.44653363;6.220.125;ELEITO;FEMININO
MS;PRESIDENTE;JOSÉ SERRA;68;45;PSDB;55.13183709;682.305;NÃO ELEITO;MASCULINO
MS;PRESIDENTE;DILMA VANA ROUSSEFF;63;13;PT;44.86816291;555.283;ELEITO;FEMININO
MT;PRESIDENTE;JOSÉ SERRA;68;45;PSDB;51.11070765;762.905;NÃO ELEITO;MASCULINO
MT;PRESIDENTE;DILMA VANA ROUSSEFF;63;13;PT;48.88929235;729.747;ELEITO;FEMININO
PA;PRESIDENTE;JOSÉ SERRA;68;45;PSDB;46.80352192;1.576.154;NÃO ELEITO;MASCULINO
PA;PRESIDENTE;DILMA VANA ROUSSEFF;63;13;PT;53.19647808;1.791.443;ELEITO;FEMININO
PB;PRESIDENTE;JOSÉ SERRA;68;45;PSDB;38.44766211;767.919;NÃO ELEITO;MASCULINO
PB;PRESIDENTE;DILMA VANA ROUSSEFF;63;13;PT;61.55233789;1.229.391;ELEITO;FEMININO
PE;PRESIDENTE;JOSÉ SERRA;68;45;PSDB;24.35329722;1.113.235;NÃO ELEITO;MASCULINO
PE;PRESIDENTE;DILMA VANA ROUSSEFF;63;13;PT;75.64670278;3.457.953;ELEITO;FEMININO
PI;PRESIDENTE;JOSÉ SERRA;68;45;PSDB;30.01575366;477.092;NÃO ELEITO;MASCULINO
PI;PRESIDENTE;DILMA VANA ROUSSEFF;63;13;PT;69.98424634;1.112.380;ELEITO;FEMININO
PR;PRESIDENTE;JOSÉ SERRA;68;45;PSDB;55.43991358;3.226.216;NÃO ELEITO;MASCULINO
PR;PRESIDENTE;DILMA VANA ROUSSEFF;63;13;PT;44.56008642;2.593.086;ELEITO;FEMININO
RJ;PRESIDENTE;JOSÉ SERRA;68;45;PSDB;39.51830897;3.223.891;NÃO ELEITO;MASCULINO
RJ;PRESIDENTE;DILMA VANA ROUSSEFF;63;13;PT;60.48169103;4.934.077;ELEITO;FEMININO
RN;PRESIDENTE;JOSÉ SERRA;68;45;PSDB;40.45741775;665.726;NÃO ELEITO;MASCULINO
RN;PRESIDENTE;DILMA VANA ROUSSEFF;63;13;PT;59.54258225;979.772;ELEITO;FEMININO
RO;PRESIDENTE;JOSÉ SERRA;68;45;PSDB;52.63326661;385.735;NÃO ELEITO;MASCULINO
